owner_id,name,revised_state,cluster,territory,status,category,category_repo,Product_group,Revenue,Sale_Qty,return_amount,Ret_Qty,Net_Rev,Net_Qty,ABS_Given_or_not_FY26,ABS_Amt_Fy26,ABS_Given_or_not_FY27,ABS_Amt_Fy27,TM,SM,return_pct,net_efficiency,abs_flag_fy27,abs_flag_fy26,Net_Rev_in_lacs
658082,LAXYA AGRO AGENCY,GJ,BHAVNAGAR,AMRELI,ACTIVE,Seeds,Seeds - FC,Cumin,12750.0,15.0,11900.0,14.0,850.0,1.0,NO,0.0,NO,0.0,NALIN.BARIYA@AGROSTAR.IN,VAIBHAV.VASOYA@AGROSTAR.IN,1.0,0.0,False,False,0.0
7969302,KUNJADIYA BROTHERS ( Clinic ),GJ,BHAVNAGAR,AMRELI,ACTIVE,Seeds,Seeds - FC,Cumin,12618.0,15.0,12618.0,15.0,0.0,0.0,NO,0.0,NO,0.0,NALIN.BARIYA@AGROSTAR.IN,VAIBHAV.VASOYA@AGROSTAR.IN,1.0,0.0,False,False,0.0
10538739,VIRKRUPA FARTILIZERS .,GJ,BANASKANTHA,MEHSANA,ACTIVE,Seeds,Seeds - Veg,Cucumber,18600.0,20.0,7440.0,8.0,11160.0,12.0,NO,0.0,NO,0.0,ROHAN.PATEL@AGROSTAR.IN,PRAJAPATI.RASIKBHAI@AGROSTAR.IN,0.0,1.0,False,False,0.0
10251174,UMIYA AGRO CENTER,GJ,BANASKANTHA,MEHSANA,ACTIVE,Seeds,Seeds - Veg,Cucumber,960.0,1.0,0.0,0.0,960.0,1.0,NO,0.0,NO,0.0,ROHAN.PATEL@AGROSTAR.IN,PRAJAPATI.RASIKBHAI@AGROSTAR.IN,0.0,1.0,False,False,0.0
11996146,OM AGRITECH,GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,22000.0,40.0,0.0,0.0,22000.0,40.0,NO,0.0,NO,0.0,BHARGAV.SOLANKI@AGROSTAR.IN,VISHALBHAI.AAL@AGROSTAR.IN,0.0,1.0,False,False,0.0
12321128,KHODAL KRUPA AGRO,GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,10896.0,20.0,0.0,0.0,10896.0,20.0,NO,0.0,NO,0.0,BHARGAV.SOLANKI@AGROSTAR.IN,GAURAV.TANK@AGROSTAR.IN,0.0,1.0,False,False,0.0
5294422,SHRI YOGESHVAR FERTILIZER,GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,10793.0,20.0,0.0,0.0,10793.0,20.0,NO,0.0,NO,0.0,BHARGAV.SOLANKI@AGROSTAR.IN,VISHALBHAI.AAL@AGROSTAR.IN,0.0,1.0,False,False,0.0
3388284,JAY SHREE BAHUCHAR AGRO AGENCY .,GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,10670.0,20.0,0.0,0.0,10670.0,20.0,NO,0.0,NO,0.0,BHARGAV.SOLANKI@AGROSTAR.IN,VISHALBHAI.AAL@AGROSTAR.IN,0.0,1.0,False,False,0.0
12159229,KRUSHI DHARATAL FARMER PRODUCER COMPANY LIMITED,GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,10500.0,20.0,0.0,0.0,10500.0,20.0,NO,0.0,YES,18750.0,BHARGAV.SOLANKI@AGROSTAR.IN,GAURAV.TANK@AGROSTAR.IN,0.0,1.0,True,False,0.0
7783509,GUJARAT AGRO  AND HARDWARE  (Sayla),GJ,RAJKOT,SURENDRANAGAR,ACTIVE,Seeds,Seeds - FC,Bajara,10496.0,20.0,0.0,0.0,10496.0,20.0,NO,0.0,NO,0.0,BHARGAV.SOLANKI@AGROSTAR.IN,VISHALBHAI.AAL@AGROSTAR.IN,0.0,1.0,False,False,0.0
